chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao,motivos_investigacao
4300034,Aceguá,"Aceguá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4300455,Alegria,"Alegria, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4300505,Alpestre,"Alpestre, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4300646,Ametista do Sul,"Ametista do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4300661,André da Rocha,"André da Rocha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301073,Arroio do Padre,"Arroio do Padre, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301636,Balneário Pinhal,"Balneário Pinhal, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301958,Barra Funda,"Barra Funda, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301859,Barra do Guarita,"Barra do Guarita, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301875,Barra do Quaraí,"Barra do Quaraí, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4301701,Barão de Cotegipe,"Barão de Cotegipe, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
