chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao
4300034,Aceguá,"Aceguá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4300109,Agudo,"Agudo, Rio Grande do Sul, Brasil",1,3,1858139.53,0.00,1858139.53,2,550000.00,saldo_positivo,afetado_com_registro
4300208,Ajuricaba,"Ajuricaba, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4300307,Alecrim,"Alecrim, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4300406,Alegrete,"Alegrete, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4300455,Alegria,"Alegria, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4300471,Almirante Tamandaré do Sul,"Almirante Tamandaré do Sul, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4300505,Alpestre,"Alpestre, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4300554,Alto Alegre,"Alto Alegre, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4300570,Alto Feliz,"Alto Feliz, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4300604,Alvorada,"Alvorada, Rio Grande do Sul, Brasil",1,2,5432558.14,0.00,5432558.14,0,0.00,saldo_positivo,afetado_com_registro
4300638,Amaral Ferrador,"Amaral Ferrador, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4300646,Ametista do Sul,"Ametista do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4300661,André da Rocha,"André da Rocha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4300703,Anta Gorda,"Anta Gorda, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4300802,Antônio Prado,"Antônio Prado, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4300851,Arambaré,"Arambaré, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,1,350000.00,saldo_positivo,afetado_com_registro
4300877,Araricá,"Araricá, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4300901,Aratiba,"Aratiba, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4301305,Arroio Grande,"Arroio Grande, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,0,0.00,saldo_positivo,afetado_com_registro
4301008,Arroio do Meio,"Arroio do Meio, Rio Grande do Sul, Brasil",1,3,2119767.44,0.00,2119767.44,2,550000.00,saldo_positivo,afetado_com_registro
4301073,Arroio do Padre,"Arroio do Padre, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301057,Arroio do Sal,"Arroio do Sal, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4301206,Arroio do Tigre,"Arroio do Tigre, Rio Grande do Sul, Brasil",1,3,1596511.63,0.00,1596511.63,2,550000.00,saldo_positivo,afetado_com_registro
4301107,Arroio dos Ratos,"Arroio dos Ratos, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4301404,Arvorezinha,"Arvorezinha, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4301503,Augusto Pestana,"Augusto Pestana, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4301602,Bagé,"Bagé, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4301636,Balneário Pinhal,"Balneário Pinhal, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301958,Barra Funda,"Barra Funda, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301859,Barra do Guarita,"Barra do Guarita, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301875,Barra do Quaraí,"Barra do Quaraí, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301909,Barra do Ribeiro,"Barra do Ribeiro, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4301925,Barra do Rio Azul,"Barra do Rio Azul, Rio Grande do Sul, Brasil",1,2,984883.72,0.00,984883.72,1,200000.00,saldo_positivo,afetado_com_registro
4301800,Barracão,"Barracão, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4302006,Barros Cassal,"Barros Cassal, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,0,0.00,saldo_positivo,afetado_com_registro
4301651,Barão,"Barão, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4301701,Barão de Cotegipe,"Barão de Cotegipe, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4301750,Barão do Triunfo,"Barão do Triunfo, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302055,Benjamin Constant do Sul,"Benjamin Constant do Sul, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
