município,chave_municipal,valor_pago,total_fato,diferenca
Sao Sebastiao do Cai,4319505,2581395.35,2381395.35,-200000.0
Canoas,4304606,5958562.42,5782558.14,-176004.28000000026
Harmonia,4309555,450000.0,350000.0,-100000.0
Girua,4309001,150000.0,150000.0,0.0
Frederico Westphalen,4308508,150000.0,150000.0,0.0
Dezesseis de Novembro,4306353,150000.0,150000.0,0.0
Crissiumal,4306007,150000.0,150000.0,0.0
Coronel Barros,4305871,150000.0,150000.0,0.0
Catuipe,4305009,150000.0,150000.0,0.0
Vitoria das Missoes,4323754,200000.0,200000.0,0.0
Vista Gaucha,4323705,200000.0,200000.0,0.0
Vila Maria,4323408,200000.0,200000.0,0.0
Vicente Dutra,4323101,200000.0,200000.0,0.0
Vale do Sol,4322533,200000.0,200000.0,0.0
Ubiretama,4322343,200000.0,200000.0,0.0
Tupancireta,4322202,200000.0,200000.0,0.0
Trindade do Sul,4321956,200000.0,200000.0,0.0
Tres Palmeiras,4321857,200000.0,200000.0,0.0
Tres Arroios,4321634,200000.0,200000.0,0.0
Esteio,4307708,3951162.79,3951162.79,0.0
Cachoeira do Sul,4303004,3951162.79,3951162.79,0.0
Lajeado,4311403,4124418.6,4124418.6,0.0
Guaiba,4309308,4474418.6,4474418.6,0.0
Santa Cruz do Sul,4316808,4709302.33,4709302.33,0.0
Bento Goncalves,4302105,4997674.42,4997674.42,0.0
Sao Leopoldo,4318705,5232558.14,5232558.14,0.0
Sapucaia do Sul,4320008,5259302.33,5259302.33,0.0
Cachoeirinha,4303103,5259302.33,5259302.33,0.0
Santa Maria,4316907,5432558.14,5432558.14,0.0
Novo Hamburgo,4313409,5432558.14,5432558.14,0.0
Alvorada,4300604,5432558.14,5432558.14,0.0
Rio Grande,4315602,5782558.14,5782558.14,0.0
Porto Alegre,4314902,5782558.14,5782558.14,0.0
Pelotas,4314407,5782558.14,5782558.14,0.0
Itatiba do Sul,4310702,150000.0,150000.0,0.0
Bom Principio,4302352,1596511.63,1596511.63,0.0
Arroio do Tigre,4301206,1596511.63,1596511.63,0.0
Sao Jeronimo,4318408,1769767.44,1769767.44,0.0
Sobradinho,4320701,1858139.53,1858139.53,0.0
Restinga Seca,4315503,1858139.53,1858139.53,0.0
Feliz,4308102,1858139.53,1858139.53,0.0
Agudo,4300109,1858139.53,1858139.53,0.0
Taquari,4321303,2031395.35,2031395.35,0.0
Nova Santa Rita,4313375,2031395.35,2031395.35,0.0
Charqueadas,4305355,2093023.26,2093023.26,0.0
Rolante,4316006,2119767.44,2119767.44,0.0
Encantado,4306809,2119767.44,2119767.44,0.0
Arroio do Meio,4301008,2119767.44,2119767.44,0.0
Veranopolis,4322806,2381395.35,2381395.35,0.0
Vera Cruz,4322707,2381395.35,2381395.35,0.0
Triunfo,4322004,2381395.35,2381395.35,0.0
Maquine,4311775,1334883.72,1334883.72,0.0
Imigrante,4310363,1334883.72,1334883.72,0.0
Ibarama,4309753,1334883.72,1334883.72,0.0
General Camara,4308805,1334883.72,1334883.72,0.0
Fontoura Xavier,4308300,1334883.72,1334883.72,0.0
Faxinal do Soturno,4308003,1334883.72,1334883.72,0.0
Doutor Ricardo,4306759,1334883.72,1334883.72,0.0
Dona Francisca,4306700,1334883.72,1334883.72,0.0
Cotipora,4305959,1334883.72,1334883.72,0.0
Coqueiro Baixo,4305835,1334883.72,1334883.72,0.0
Colinas,4305587,1334883.72,1334883.72,0.0
Cerro Branco,4305132,1334883.72,1334883.72,0.0
Canudos do Vale,4304614,1334883.72,1334883.72,0.0
Arambare,4300851,1334883.72,1334883.72,0.0
Jaguari,4311106,1596511.63,1596511.63,0.0
Cruzeiro do Sul,4306205,1596511.63,1596511.63,0.0
Vale Verde,4322525,1334883.72,1334883.72,0.0
Travesseiro,4321626,1334883.72,1334883.72,0.0
Sinimbu,4320677,1334883.72,1334883.72,0.0
Silveira Martins,4320651,1334883.72,1334883.72,0.0
Segredo,4320263,1334883.72,1334883.72,0.0
Sao Vendelino,4319752,1334883.72,1334883.72,0.0
Sao Valentim do Sul,4319711,1334883.72,1334883.72,0.0
Sao Joao do Polesine,4318432,1334883.72,1334883.72,0.0
Santa Tereza,4317251,1334883.72,1334883.72,0.0
Relvado,4315453,1334883.72,1334883.72,0.0
Putinga,4315206,1334883.72,1334883.72,0.0
Ponte Preta,4314787,1334883.72,1334883.72,0.0
Pinhal Grande,4314472,1334883.72,1334883.72,0.0
Passo do Sobrado,4314076,1334883.72,1334883.72,0.0
Pareci Novo,4314035,1334883.72,1334883.72,0.0
Nova Palma,4313102,1334883.72,1334883.72,0.0
Ajuricaba,4300208,350000.0,350000.0,0.0
Pouso Novo,4315131,784883.72,784883.72,0.0
Severiano de Almeida,4320602,984883.72,984883.72,0.0
Sao Jose do Herval,4318465,984883.72,984883.72,0.0
Passa Sete,4314068,984883.72,984883.72,0.0
Paraiso do Sul,4314027,984883.72,984883.72,0.0
Mucum,4312609,984883.72,984883.72,0.0
Marques de Souza,4312054,984883.72,984883.72,0.0
Ivora,4310751,984883.72,984883.72,0.0
Forquetinha,4308433,984883.72,984883.72,0.0
Barra do Rio Azul,4301925,984883.72,984883.72,0.0
Sao Martinho da Serra,4319125,1134883.72,1134883.72,0.0
Roca Sales,4315800,1246511.63,1246511.63,0.0
Bom Retiro do Sul,4302402,1246511.63,1246511.63,0.0
Vespasiano Correa,4322855,1334883.72,1334883.72,0.0
Cacique Doble,4303202,350000.0,350000.0,0.0
Cacequi,4302907,350000.0,350000.0,0.0
Bozano,4302584,350000.0,350000.0,0.0
Boqueirao do Leao,4302451,350000.0,350000.0,0.0
Bom Jesus,4302303,350000.0,350000.0,0.0
Barao,4301651,350000.0,350000.0,0.0
Bage,4301602,350000.0,350000.0,0.0
Augusto Pestana,4301503,350000.0,350000.0,0.0
Arvorezinha,4301404,350000.0,350000.0,0.0
Arroio dos Ratos,4301107,350000.0,350000.0,0.0
Ararica,4300877,350000.0,350000.0,0.0
Antonio Prado,4300802,350000.0,350000.0,0.0
Anta Gorda,4300703,350000.0,350000.0,0.0
Alto Feliz,4300570,350000.0,350000.0,0.0
Alegrete,4300406,350000.0,350000.0,0.0
Alecrim,4300307,350000.0,350000.0,0.0
Cruzaltense,4306130,350000.0,350000.0,0.0
Cristal do Sul,4306072,350000.0,350000.0,0.0
Coronel Pilar,4305934,350000.0,350000.0,0.0
Ciriaco,4305504,350000.0,350000.0,0.0
Chuvisca,4305447,350000.0,350000.0,0.0
Chiapetta,4305405,350000.0,350000.0,0.0
Carlos Gomes,4304853,350000.0,350000.0,0.0
Carlos Barbosa,4304804,350000.0,350000.0,0.0
Capitao,4304697,350000.0,350000.0,0.0
Capela de Santana,4304689,350000.0,350000.0,0.0
Capao Bonito do Sul,4304622,350000.0,350000.0,0.0
Canela,4304408,350000.0,350000.0,0.0
Candiota,4304358,350000.0,350000.0,0.0
Campos Borges,4304101,350000.0,350000.0,0.0
Camargo,4303558,350000.0,350000.0,0.0
