data,ano,mes
2024-05-17,2024,5
2024-05-20,2024,5
2024-05-21,2024,5
2024-05-22,2024,5
2024-05-23,2024,5
2024-05-24,2024,5
2024-05-28,2024,5
2024-05-29,2024,5
2024-05-31,2024,5
2024-06-03,2024,6
2024-06-04,2024,6
2024-06-05,2024,6
2024-06-07,2024,6
2024-06-10,2024,6
2024-06-11,2024,6
2024-06-12,2024,6
2024-06-13,2024,6
2024-06-14,2024,6
2024-06-17,2024,6
2024-06-18,2024,6
2024-06-19,2024,6
2024-06-20,2024,6
2024-06-21,2024,6
2024-06-24,2024,6
2024-06-25,2024,6
2024-06-26,2024,6
2024-06-27,2024,6
2024-06-28,2024,6
2024-07-01,2024,7
2024-07-04,2024,7
2024-07-05,2024,7
2024-07-08,2024,7
2024-07-10,2024,7
2024-07-12,2024,7
2024-07-17,2024,7
2024-07-18,2024,7
2024-07-22,2024,7
2024-07-24,2024,7
2024-07-25,2024,7
2024-07-26,2024,7
2024-07-29,2024,7
2024-08-01,2024,8
2024-08-02,2024,8
2024-08-09,2024,8
2024-08-12,2024,8
2024-08-22,2024,8
2024-09-04,2024,9
2024-09-06,2024,9
2024-09-26,2024,9
