chave_municipal,município,codigo_ibge,municipio_ibge_2024,localizacao_mapa,regiao,populacao_2024,populacao_2025,populacao_censo_2022,idhm_2010,pib_per_capita_2023_reais,pib_2023_mil_reais,densidade_hab_km2,area_km2,valor_pago,total_repasses,valor_por_pessoa_2024,qtd_repasses,valor_medio
4304606,Canoas,4304606,Canoas,"Canoas, Rio Grande do Sul, Brasil",Sul,359554,359840,347657.0,0.75,83895.0,29166697.0,2658.15,130.789,5958562.42,5782558.14,16.08258603714602,3,1927519.38
4305108,Caxias do Sul,4305108,Caxias do Sul,"Caxias do Sul, Rio Grande do Sul, Brasil",Sul,479256,479599,463501.0,0.782,81684.0,37860602.0,280.52,1652.32,5782558.14,5782558.14,12.065697956833091,3,1927519.38
4314407,Pelotas,4314407,Pelotas,"Pelotas, Rio Grande do Sul, Brasil",Sul,336131,336150,325685.0,0.739,38322.0,12480919.0,202.44,1608.78,5782558.14,5782558.14,17.203287230276292,3,1927519.38
4314902,Porto Alegre,4314902,Porto Alegre,"Porto Alegre, Rio Grande do Sul, Brasil",Sul,1389322,1388794,1332845.0,0.805,78586.0,104743272.0,2690.5,495.39,5782558.14,5782558.14,4.162143937834426,5,1156511.628
4315602,Rio Grande,4315602,Rio Grande,"Rio Grande, Rio Grande do Sul, Brasil",Sul,198958,198935,191900.0,0.744,73511.0,14106680.0,71.53,2682.867,5782558.14,5782558.14,29.06421526151248,3,1927519.38
4300604,Alvorada,4300604,Alvorada,"Alvorada, Rio Grande do Sul, Brasil",Sul,194116,194062,187315.0,0.699,22048.0,4129934.0,2612.48,71.7,5432558.14,5432558.14,27.986143027880235,2,2716279.07
4313409,Novo Hamburgo,4313409,Novo Hamburgo,"Novo Hamburgo, Rio Grande do Sul, Brasil",Sul,235879,235802,227646.0,0.747,52435.0,11936582.0,1022.96,222.536,5432558.14,5432558.14,23.031122482289646,2,2716279.07
4316907,Santa Maria,4316907,Santa Maria,"Santa Maria, Rio Grande do Sul, Brasil",Sul,282244,282395,271735.0,0.784,40230.0,10932024.0,152.64,1780.194,5432558.14,5432558.14,19.247736497498618,4,1358139.535
4303103,Cachoeirinha,4303103,Cachoeirinha,"Cachoeirinha, Rio Grande do Sul, Brasil",Sul,141303,141503,136258.0,0.757,57111.0,7781824.0,3112.48,43.778,5259302.33,5259302.33,37.22003304954601,5,1051860.466
4320008,Sapucaia do Sul,4320008,Sapucaia do Sul,"Sapucaia do Sul, Rio Grande do Sul, Brasil",Sul,136542,136572,132107.0,0.726,35800.0,4729408.0,2268.05,58.247,5259302.33,5259302.33,38.51783575749586,3,1753100.7766666666
4318705,Sao Leopoldo,4318705,São Leopoldo,"São Leopoldo, Rio Grande do Sul, Brasil",Sul,225669,225737,217409.0,0.739,54004.0,11740913.0,2110.58,103.009,5232558.14,5232558.14,23.186871657161593,1,5232558.14
4302105,Bento Goncalves,4302105,Bento Gonçalves,"Bento Gonçalves, Rio Grande do Sul, Brasil",Sul,127775,127977,123151.0,0.778,73589.0,9062598.0,452.28,272.287,4997674.42,4997674.42,39.11308487575817,3,1665891.4733333334
4316808,Santa Cruz do Sul,4316808,Santa Cruz do Sul,"Santa Cruz do Sul, Rio Grande do Sul, Brasil",Sul,138104,138270,133230.0,0.773,100553.0,13396618.0,181.54,733.898,4709302.33,4709302.33,34.0996808926606,1,4709302.33
4309308,Guaiba,4309308,Guaíba,"Guaíba, Rio Grande do Sul, Brasil",Sul,95956,95946,92924.0,0.73,96873.0,9001785.0,247.03,376.166,4474418.6,4474418.6,46.629899120430196,3,1491472.8666666665
4311403,Lajeado,4311403,Lajeado,"Lajeado, Rio Grande do Sul, Brasil",Sul,96651,96879,93646.0,0.778,71602.0,6705227.0,1026.47,91.231,4124418.6,4124418.6,42.67331533041562,2,2062209.3
4303004,Cachoeira do Sul,4303004,Cachoeira do Sul,"Cachoeira do Sul, Rio Grande do Sul, Brasil",Sul,82250,82222,80070.0,0.742,42104.0,3371237.0,21.43,3736.064,3951162.79,3951162.79,48.038453373860186,3,1317054.2633333334
4307708,Esteio,4307708,Esteio,"Esteio, Rio Grande do Sul, Brasil",Sul,78181,78144,76137.0,0.754,52518.0,3998587.0,2751.01,27.676,3951162.79,3951162.79,50.53865760223072,7,564451.8271428571
4303905,Campo Bom,4303905,Campo Bom,"Campo Bom, Rio Grande do Sul, Brasil",Sul,64704,64719,62886.0,0.745,72015.0,4528757.0,1038.08,60.579,3689534.88,3689534.88,57.02174332344214,3,1229844.96
4312401,Montenegro,4312401,Montenegro,"Montenegro, Rio Grande do Sul, Brasil",Sul,66295,66352,64322.0,0.755,81767.0,5259437.0,151.34,425.023,3689534.88,3689534.88,55.65329029338562,3,1229844.96
4322608,Venancio Aires,4322608,Venâncio Aires,"Venâncio Aires, Rio Grande do Sul, Brasil",Sul,70805,70842,68763.0,0.712,68105.0,4683134.0,89.0,772.588,3689534.88,3689534.88,52.10839460490078,3,1229844.96
4321204,Taquara,4321204,Taquara,"Taquara, Rio Grande do Sul, Brasil",Sul,54360,54353,53242.0,0.727,34104.0,1815775.0,117.64,452.572,3427906.98,3427906.98,63.059363134657836,3,1142635.66
4314050,Parobe,4314050,Parobé,"Parobé, Rio Grande do Sul, Brasil",Sul,53555,53569,52058.0,0.704,33150.0,1725746.0,478.88,108.707,3077906.98,3077906.98,57.471888339090654,2,1538953.49
4309100,Gramado,4309100,Gramado,"Gramado, Rio Grande do Sul, Brasil",Sul,41621,41705,40134.0,0.764,88848.0,3565830.0,167.69,239.341,2904651.16,2904651.16,69.78811561471373,3,968217.0533333333
4318804,Sao Lourenco do Sul,4318804,São Lourenço do Sul,"São Lourenço do Sul, Rio Grande do Sul, Brasil",Sul,43283,43278,41989.0,0.687,40953.0,1719596.0,20.62,2036.125,2904651.16,2904651.16,67.10836032622508,3,968217.0533333333
4307807,Estrela,4307807,Estrela,"Estrela, Rio Grande do Sul, Brasil",Sul,33243,33263,32183.0,0.767,73856.0,2376913.0,173.94,185.026,2643023.26,2643023.26,79.50615949222392,3,881007.7533333333
4310108,Igrejinha,4310108,Igrejinha,"Igrejinha, Rio Grande do Sul, Brasil",Sul,34763,34776,32808.0,0.721,80960.0,2656127.0,237.22,138.303,2643023.26,2643023.26,76.02978051376463,3,881007.7533333333
4319505,Sao Sebastiao do Cai,4319505,São Sebastião do Caí,"São Sebastião do Caí, Rio Grande do Sul, Brasil",Sul,24883,24898,24428.0,0.739,45995.0,1123568.0,213.73,114.293,2581395.35,2381395.35,95.70370735039988,3,793798.4500000001
4306767,Eldorado do Sul,4306767,Eldorado do Sul,"Eldorado do Sul, Rio Grande do Sul, Brasil",Sul,40954,41012,39559.0,0.717,66318.0,2623491.0,77.63,509.614,2554651.16,2554651.16,62.378550568931,2,1277325.58
4315701,Rio Pardo,4315701,Rio Pardo,"Rio Pardo, Rio Grande do Sul, Brasil",Sul,35666,35641,34654.0,0.693,36014.0,1248019.0,16.9,2051.112,2443023.26,2443023.26,68.49725957494532,2,1221511.63
4304200,Candelaria,4304200,Candelária,"Candelária, Rio Grande do Sul, Brasil",Sul,29783,29775,28906.0,0.674,42714.0,1234677.0,30.6,944.735,2381395.35,2381395.35,79.95820938119061,3,793798.4500000001
4309407,Guapore,4309407,Guaporé,"Guaporé, Rio Grande do Sul, Brasil",Sul,26138,26168,25268.0,0.765,50045.0,1264537.0,84.92,297.545,2381395.35,2381395.35,91.10855268191905,3,793798.4500000001
4318507,Sao Jose do Norte,4318507,São José do Norte,"São José do Norte, Rio Grande do Sul, Brasil",Sul,26245,26248,25443.0,0.623,50052.0,1273464.0,23.74,1071.824,2381395.35,2381395.35,90.73710611545057,3,793798.4500000001
4321709,Tres Coroas,4321709,Três Coroas,"Três Coroas, Rio Grande do Sul, Brasil",Sul,24420,24428,24425.0,0.71,42828.0,1046073.0,147.78,165.285,2381395.35,2381395.35,97.51823710073711,5,476279.07
4322004,Triunfo,4322004,Triunfo,"Triunfo, Rio Grande do Sul, Brasil",Sul,28414,28435,27498.0,0.733,275341.0,7571335.0,33.63,817.625,2381395.35,2381395.35,83.81063384247203,3,793798.4500000001
4322707,Vera Cruz,4322707,Vera Cruz,"Vera Cruz, Rio Grande do Sul, Brasil",Sul,27638,27670,26710.0,0.737,42184.0,1126736.0,86.27,309.621,2381395.35,2381395.35,86.16380888631595,3,793798.4500000001
4322806,Veranopolis,4322806,Veranópolis,"Veranópolis, Rio Grande do Sul, Brasil",Sul,24540,24554,24021.0,0.773,99722.0,2395417.0,83.0,289.397,2381395.35,2381395.35,97.04137530562348,3,793798.4500000001
4301008,Arroio do Meio,4301008,Arroio do Meio,"Arroio do Meio, Rio Grande do Sul, Brasil",Sul,22490,22523,21958.0,0.769,88493.0,1943138.0,139.78,157.088,2119767.44,2119767.44,94.2537767896843,3,706589.1466666666
4306809,Encantado,4306809,Encantado,"Encantado, Rio Grande do Sul, Brasil",Sul,23494,23520,22962.0,0.767,61468.0,1411422.0,164.01,140.006,2119767.44,2119767.44,90.22590618881416,3,706589.1466666666
