data,processo,recurso,empenho,cnpj,credor,município,valor
2024-08-02,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,-400000.0
2024-07-29,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,-400000.0
2024-07-25,24080400008075,Tesouro,24004137227,53288203000191,Fundo Mun Defesa Civil de Cachoeirinha,Cachoeirinha,-700000.0
2024-07-18,24080400007982,Judiciário,24003965608,55858276000105,Fundo Mun Defesa Civil de Porto Alegre,Porto Alegre,-10465116.28
2024-06-25,24080400006692,Tesouro,24003486494,19175078000175,Fundo Mun Prot e Defesa Civil Coronel Barros,Coronel Barros,-300000.0
2024-06-20,24080400006498,Judiciário,24003414720,18929543000153,Fundo Mun da Defesa Civil de Santa Terez,Santa Tereza,-1569767.44
2024-05-31,9999991400246,Tesouro,24002811085,18392493000118,Fundo Mun de Defesa Civil Esteio,Esteio,-400000.0
2024-05-31,9999991400246,Tesouro,24002869440,55149498000140,Fundo Mun Defesa Civil Sao Francisco de Paula,Sao Francisco de Paula,-400000.0
2024-05-24,9999991400246,Tesouro,24002861788,55081751000171,Fundo Mun Defesa Civil Santa Clara do Sul,Santa Clara do Sul,-400000.0
2024-05-23,9999991400246,Tesouro,24002811085,18392493000118,Fundo Mun de Defesa Civil Esteio,Esteio,-400000.0
2024-05-23,9999991400246,Tesouro,24002812530,53179256000174,Fundo Mun de Defesa Civil Fumdec,Paulo Bento,-400000.0
2024-05-23,9999991400246,Tesouro,24002812652,55084930000162,Fundo Mun de Protecao e Defesa Civil Fumpdec,Itapuca,-400000.0
2024-05-23,9999991400246,Tesouro,24002812664,54060951000185,Fundo Mun Defesa Civil de Santa Maria Fumdec,Santa Maria,-400000.0
2024-05-23,9999991400246,Tesouro,24002821626,28004616000150,Fundo Mun de Defesa Civil de Marata,Marata,-400000.0
2024-05-23,9999991400246,Tesouro,24002821789,55157932000134,Fundo Mun Defesa Civil Quevedos,Quevedos,-400000.0
2024-05-23,9999991400246,Tesouro,24002822209,20611585000193,Coord Mun Defesa Civil de Rodeio Bonito,Rodeio Bonito,-400000.0
2024-05-21,9999991400246,Tesouro,24002780489,53196650000110,Pref Mun de Sao Gabriel,Sao Gabriel,-400000.0
2024-05-21,9999991400246,Tesouro,24002807482,22749174000194,Fundo Mun de Defesa Civil de Tres Coroas,Tres Coroas,-400000.0
