data,chave_municipal,processo,empenho,cnpj,credor,recurso,valor
2024-09-26,4310751,24080400010231,24005579303,55397324000105,Fundo Mun Defesa Civil de Ivora,Judiciário,784883.72
2024-09-06,4305355,24080400009900,24005171712,55683798000105,Fundo Mun Prot e Defesa Civil de Charqueadas,Judiciário,2093023.26
2024-09-04,4309308,24080400009624,24005056879,55195693000107,Fundo Mun Protecao e Defesa Civil de Guaiba,Judiciário,3924418.6
2024-08-22,4308433,24080400009187,24004790061,54040958000135,Fundo Mun Defesa Civil Forquetinha,Judiciário,784883.72
2024-08-12,4300604,24080400008814,24004545202,55522654000177,Fundo Mun Defesa Civil de Alvorada,Judiciário,5232558.14
2024-08-09,4314555,24080400008091,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Tesouro,200000.0
2024-08-02,4314555,24080400008091,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Tesouro,-400000.0
2024-08-01,4314555,24080400008091,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Tesouro,400000.0
2024-07-29,4314555,24080400008091,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Tesouro,-400000.0
2024-07-26,4303103,24080400008075,24004137227,53288203000191,Fundo Mun Defesa Civil de Cachoeirinha,Tesouro,350000.0
2024-07-26,4300604,24080400008091,24004138034,55522654000177,Fundo Mun Defesa Civil de Alvorada,Tesouro,200000.0
2024-07-26,4300877,24080400008091,24004138244,54990677000143,Fundo Mun Prot Defesa Civil de Ararica,Tesouro,200000.0
2024-07-26,4301305,24080400008091,24004139879,53126924000103,Fundo Munic Defesa Civil Arroio Grande,Tesouro,200000.0
2024-07-26,4301602,24080400008091,24004139883,53481476000158,Fundo Mun Defesa Civil de Bage,Tesouro,200000.0
2024-07-26,4303103,24080400008091,24004140940,53288203000191,Fundo Mun Defesa Civil de Cachoeirinha,Tesouro,200000.0
2024-07-26,4304614,24080400008091,24004140952,53878144000101,Fundo Mun Prot Defesa Civil Canudos do Vale,Tesouro,200000.0
2024-07-26,4304804,24080400008091,24004141083,26341864000160,Pref Mun de Carlos Barbosa,Tesouro,200000.0
