chave_municipal,data_marco_adotado,tipo_marco_adotado,fonte_marco_adotado,data_primeiro_repasse_elegivel,intervalo_desde_marco_adotado_dias,status_intervalo,criterio_primeiro_repasse,qtd_estornos_ignorados
4304606,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-20,57,ok,valor > 0 e data válida,0
4305108,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-03,40,ok,valor > 0 e data válida,0
4314407,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4314902,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-17,84,ok,valor > 0 e data válida,1
4315602,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-23,29,ok,valor > 0 e data válida,0
4300604,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-26,93,ok,valor > 0 e data válida,0
4313409,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-03,40,ok,valor > 0 e data válida,0
4316907,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,1
4303103,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-24,91,ok,valor > 0 e data válida,1
4320008,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4318705,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-05,72,ok,valor > 0 e data válida,0
4302105,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4316808,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-25,92,ok,valor > 0 e data válida,0
4309308,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-29,35,ok,valor > 0 e data válida,0
4311403,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4303004,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4307708,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,2
4303905,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4312401,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-17,23,ok,valor > 0 e data válida,0
4322608,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4321204,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4314050,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4309100,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-07-10,77,ok,valor > 0 e data válida,0
4318804,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-22,28,ok,valor > 0 e data válida,0
4307807,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-05-20,26,ok,valor > 0 e data válida,0
4310108,2024-04-24,início do período estadual dos eventos climáticos,"Decreto Estadual RS nº 57.604/2024, art. 1º",2024-06-03,40,ok,valor > 0 e data válida,0
