ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
1,4300034,Aceguá,Aceguá,2024-06-11
2,4300109,Agudo,Agudo,2024-06-11
3,4300208,Ajuricaba,Ajuricaba,2024-06-11
4,4300307,Alecrim,Alecrim,2024-06-11
5,4300406,Alegrete,Alegrete,2024-06-11
6,4300455,Alegria,Alegria,2024-06-11
7,4300505,Alpestre,Alpestre,2024-06-11
8,4300554,Alto Alegre,Alto Alegre,2024-06-11
9,4300570,Alto Feliz,Alto Feliz,2024-06-11
10,4300604,Alvorada,Alvorada,2024-06-11
11,4300638,Amaral Ferrador,Amaral Ferrador,2024-06-11
12,4300646,Ametista do Sul,Ametista do Sul,2024-06-11
13,4300661,André da Rocha,André da Rocha,2024-06-11
14,4300703,Anta Gorda,Anta Gorda,2024-06-11
15,4300802,Antônio Prado,Antônio Prado,2024-06-11
16,4300851,Arambaré,Arambaré,2024-06-11
17,4300877,Araricá,Araricá,2024-06-11
18,4300901,Aratiba,Aratiba,2024-06-11
19,4301008,Arroio do Meio,Arroio do Meio,2024-06-11
20,4301073,Arroio do Padre,Arroio do Padre,2024-06-11
21,4301206,Arroio do Tigre,Arroio do Tigre,2024-06-11
22,4301107,Arroio Dos Ratos,Arroio dos Ratos,2024-06-11
23,4301305,Arroio Grande,Arroio Grande,2024-06-11
24,4301404,Arvorezinha,Arvorezinha,2024-06-11
25,4301503,Augusto Pestana,Augusto Pestana,2024-06-11
26,4301552,Áurea,Áurea,2024-06-11
27,4301602,Bagé,Bagé,2024-06-11
28,4301636,Balneário Pinhal,Balneário Pinhal,2024-06-11
29,4301651,Barão,Barão,2024-06-11
30,4301701,Barão de Cotegipe,Barão de Cotegipe,2024-06-11
31,4301750,Barão do Triunfo,Barão do Triunfo,2024-06-11
32,4301859,Barra do Guarita,Barra do Guarita,2024-06-11
33,4301875,Barra do Quaraí,Barra do Quaraí,2024-06-11
34,4301909,Barra do Ribeiro,Barra do Ribeiro,2024-06-11
35,4301925,Barra do Rio Azul,Barra do Rio Azul,2024-06-11
36,4301958,Barra Funda,Barra Funda,2024-06-11
37,4302006,Barros Cassal,Barros Cassal,2024-06-11
38,4302055,Benjamin Constant do Sul,Benjamin Constant do Sul,2024-06-11
39,4302105,Bento Gonçalves,Bento Gonçalves,2024-06-11
40,4302154,Boa Vista Das Missões,Boa Vista das Missões,2024-06-11
41,4302204,Boa Vista do Buricá,Boa Vista do Buricá,2024-06-11
42,4302220,Boa Vista do Cadeado,Boa Vista do Cadeado,2024-06-11
43,4302238,Boa Vista do Incra,Boa Vista do Incra,2024-06-11
44,4302253,Boa Vista do Sul,Boa Vista do Sul,2024-06-11
45,4302303,Bom Jesus,Bom Jesus,2024-06-11
46,4302352,Bom Princípio,Bom Princípio,2024-06-11
47,4302378,Bom Progresso,Bom Progresso,2024-06-11
48,4302402,Bom Retiro do Sul,Bom Retiro do Sul,2024-06-11
49,4302451,Boqueirão do Leão,Boqueirão do Leão,2024-06-11
50,4302501,Bossoroca,Bossoroca,2024-06-11
51,4302584,Bozano,Bozano,2024-06-11
52,4302600,Braga,Braga,2024-06-11
53,4302659,Brochier,Brochier,2024-06-11
54,4302709,Butiá,Butiá,2024-06-11
55,4302808,Caçapava do Sul,Caçapava do Sul,2024-06-11
56,4302907,Cacequi,Cacequi,2024-06-11
57,4303004,Cachoeira do Sul,Cachoeira do Sul,2024-06-11
58,4303103,Cachoeirinha,Cachoeirinha,2024-06-11
59,4303202,Cacique Doble,Cacique Doble,2024-06-11
60,4303301,Caibaté,Caibaté,2024-06-11
61,4303400,Caiçara,Caiçara,2024-06-11
62,4303509,Camaquã,Camaquã,2024-06-11
63,4303558,Camargo,Camargo,2024-06-11
64,4303608,Cambará do Sul,Cambará do Sul,2024-06-11
65,4303673,Campestre da Serra,Campestre da Serra,2024-06-11
66,4303707,Campina Das Missões,Campina das Missões,2024-06-11
67,4303806,Campinas do Sul,Campinas do Sul,2024-06-11
68,4303905,Campo Bom,Campo Bom,2024-06-11
69,4304002,Campo Novo,Campo Novo,2024-06-11
70,4304101,Campos Borges,Campos Borges,2024-06-11
71,4304200,Candelária,Candelária,2024-06-11
72,4304309,Cândido Godói,Cândido Godói,2024-06-11
73,4304358,Candiota,Candiota,2024-06-11
74,4304408,Canela,Canela,2024-06-11
75,4304507,Canguçu,Canguçu,2024-06-11
76,4304606,Canoas,Canoas,2024-06-11
77,4304614,Canudos do Vale,Canudos do Vale,2024-06-11
78,4304622,Capão Bonito do Sul,Capão Bonito do Sul,2024-06-11
79,4304655,Capão do Cipó,Capão do Cipó,2024-06-11
80,4304663,Capão do Leão,Capão do Leão,2024-06-11
81,4304689,Capela de Santana,Capela de Santana,2024-06-11
82,4304697,Capitão,Capitão,2024-06-11
83,4304671,Capivari do Sul,Capivari do Sul,2024-06-11
84,4304713,Caraá,Caraá,2024-06-11
85,4304804,Carlos Barbosa,Carlos Barbosa,2024-06-11
86,4304853,Carlos Gomes,Carlos Gomes,2024-06-11
87,4304903,Casca,Casca,2024-06-11
88,4304952,Caseiros,Caseiros,2024-06-11
89,4305009,Catuípe,Catuípe,2024-06-11
