"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2024"
"MU";"4300034";"Aceguá (RS)";"4253";"Pessoas"
"MU";"4300059";"Água Santa (RS)";"4000";"Pessoas"
"MU";"4300109";"Agudo (RS)";"16346";"Pessoas"
"MU";"4300208";"Ajuricaba (RS)";"6848";"Pessoas"
"MU";"4300307";"Alecrim (RS)";"6228";"Pessoas"
"MU";"4300406";"Alegrete (RS)";"74329";"Pessoas"
"MU";"4300455";"Alegria (RS)";"3711";"Pessoas"
"MU";"4300471";"Almirante Tamandaré do Sul (RS)";"2008";"Pessoas"
"MU";"4300505";"Alpestre (RS)";"7243";"Pessoas"
"MU";"4300554";"Alto Alegre (RS)";"1837";"Pessoas"
"MU";"4300570";"Alto Feliz (RS)";"3143";"Pessoas"
"MU";"4300604";"Alvorada (RS)";"194116";"Pessoas"
"MU";"4300638";"Amaral Ferrador (RS)";"5394";"Pessoas"
"MU";"4300646";"Ametista do Sul (RS)";"7822";"Pessoas"
"MU";"4300661";"André da Rocha (RS)";"1157";"Pessoas"
"MU";"4300703";"Anta Gorda (RS)";"6080";"Pessoas"
"MU";"4300802";"Antônio Prado (RS)";"13328";"Pessoas"
"MU";"4300851";"Arambaré (RS)";"4211";"Pessoas"
"MU";"4300877";"Araricá (RS)";"8794";"Pessoas"
"MU";"4300901";"Aratiba (RS)";"6618";"Pessoas"
"MU";"4301008";"Arroio do Meio (RS)";"22490";"Pessoas"
"MU";"4301057";"Arroio do Sal (RS)";"11384";"Pessoas"
"MU";"4301073";"Arroio do Padre (RS)";"2651";"Pessoas"
"MU";"4301107";"Arroio dos Ratos (RS)";"14923";"Pessoas"
"MU";"4301206";"Arroio do Tigre (RS)";"12296";"Pessoas"
"MU";"4301305";"Arroio Grande (RS)";"17887";"Pessoas"
"MU";"4301404";"Arvorezinha (RS)";"10545";"Pessoas"
"MU";"4301503";"Augusto Pestana (RS)";"7302";"Pessoas"
"MU";"4301552";"Áurea (RS)";"3460";"Pessoas"
"MU";"4301602";"Bagé (RS)";"121900";"Pessoas"
"MU";"4301636";"Balneário Pinhal (RS)";"15371";"Pessoas"
"MU";"4301651";"Barão (RS)";"6489";"Pessoas"
"MU";"4301701";"Barão de Cotegipe (RS)";"7313";"Pessoas"
"MU";"4301750";"Barão do Triunfo (RS)";"5983";"Pessoas"
"MU";"4301800";"Barracão (RS)";"4920";"Pessoas"
"MU";"4301859";"Barra do Guarita (RS)";"3230";"Pessoas"
"MU";"4301875";"Barra do Quaraí (RS)";"4337";"Pessoas"
"MU";"4301909";"Barra do Ribeiro (RS)";"12475";"Pessoas"
"MU";"4301925";"Barra do Rio Azul (RS)";"1724";"Pessoas"
"MU";"4301958";"Barra Funda (RS)";"2555";"Pessoas"
"MU";"4302006";"Barros Cassal (RS)";"9442";"Pessoas"
"MU";"4302055";"Benjamin Constant do Sul (RS)";"2120";"Pessoas"
"MU";"4302105";"Bento Gonçalves (RS)";"127775";"Pessoas"
"MU";"4302154";"Boa Vista das Missões (RS)";"1969";"Pessoas"
"MU";"4302204";"Boa Vista do Buricá (RS)";"7125";"Pessoas"
"MU";"4302220";"Boa Vista do Cadeado (RS)";"2271";"Pessoas"
"MU";"4302238";"Boa Vista do Incra (RS)";"2315";"Pessoas"
"MU";"4302253";"Boa Vista do Sul (RS)";"2815";"Pessoas"
"MU";"4302303";"Bom Jesus (RS)";"11431";"Pessoas"
"MU";"4302352";"Bom Princípio (RS)";"13650";"Pessoas"
"MU";"4302378";"Bom Progresso (RS)";"2134";"Pessoas"
"MU";"4302402";"Bom Retiro do Sul (RS)";"12578";"Pessoas"
"MU";"4302451";"Boqueirão do Leão (RS)";"6215";"Pessoas"
"MU";"4302501";"Bossoroca (RS)";"5988";"Pessoas"
"MU";"4302584";"Bozano (RS)";"2195";"Pessoas"
"MU";"4302600";"Braga (RS)";"3326";"Pessoas"
"MU";"4302659";"Brochier (RS)";"5079";"Pessoas"
"MU";"4302709";"Butiá (RS)";"19433";"Pessoas"
"MU";"4302808";"Caçapava do Sul (RS)";"33508";"Pessoas"
"MU";"4302907";"Cacequi (RS)";"11324";"Pessoas"
"MU";"4303004";"Cachoeira do Sul (RS)";"82250";"Pessoas"
"MU";"4303103";"Cachoeirinha (RS)";"141303";"Pessoas"
"MU";"4303202";"Cacique Doble (RS)";"4694";"Pessoas"
"MU";"4303301";"Caibaté (RS)";"4797";"Pessoas"
"MU";"4303400";"Caiçara (RS)";"4933";"Pessoas"
"MU";"4303509";"Camaquã (RS)";"63959";"Pessoas"
"MU";"4303558";"Camargo (RS)";"3056";"Pessoas"
"MU";"4303608";"Cambará do Sul (RS)";"6492";"Pessoas"
"MU";"4303673";"Campestre da Serra (RS)";"3311";"Pessoas"
"MU";"4303707";"Campina das Missões (RS)";"6001";"Pessoas"
"MU";"4303806";"Campinas do Sul (RS)";"5390";"Pessoas"
"MU";"4303905";"Campo Bom (RS)";"64704";"Pessoas"
"MU";"4304002";"Campo Novo (RS)";"5068";"Pessoas"
"MU";"4304101";"Campos Borges (RS)";"3693";"Pessoas"
"MU";"4304200";"Candelária (RS)";"29783";"Pessoas"
"MU";"4304309";"Cândido Godói (RS)";"6421";"Pessoas"
"MU";"4304358";"Candiota (RS)";"10992";"Pessoas"
"MU";"4304408";"Canela (RS)";"50613";"Pessoas"
"MU";"4304507";"Canguçu (RS)";"50998";"Pessoas"
"MU";"4304606";"Canoas (RS)";"359554";"Pessoas"
"MU";"4304614";"Canudos do Vale (RS)";"1687";"Pessoas"
"MU";"4304622";"Capão Bonito do Sul (RS)";"1769";"Pessoas"
"MU";"4304630";"Capão da Canoa (RS)";"66012";"Pessoas"
"MU";"4304655";"Capão do Cipó (RS)";"3186";"Pessoas"
"MU";"4304663";"Capão do Leão (RS)";"27389";"Pessoas"
"MU";"4304671";"Capivari do Sul (RS)";"4079";"Pessoas"
"MU";"4304689";"Capela de Santana (RS)";"11416";"Pessoas"
"MU";"4304697";"Capitão (RS)";"2991";"Pessoas"
"MU";"4304705";"Carazinho (RS)";"63638";"Pessoas"
"MU";"4304713";"Caraá (RS)";"7553";"Pessoas"
"MU";"4304804";"Carlos Barbosa (RS)";"31528";"Pessoas"
"MU";"4304853";"Carlos Gomes (RS)";"1387";"Pessoas"
"MU";"4304903";"Casca (RS)";"9689";"Pessoas"
"MU";"4304952";"Caseiros (RS)";"3064";"Pessoas"
"MU";"4305009";"Catuípe (RS)";"8840";"Pessoas"
"MU";"4305108";"Caxias do Sul (RS)";"479256";"Pessoas"
"MU";"4305116";"Centenário (RS)";"2779";"Pessoas"
"MU";"4305124";"Cerrito (RS)";"5915";"Pessoas"
"MU";"4305132";"Cerro Branco (RS)";"3865";"Pessoas"
"MU";"4305157";"Cerro Grande (RS)";"2429";"Pessoas"
"MU";"4305173";"Cerro Grande do Sul (RS)";"9343";"Pessoas"
"MU";"4305207";"Cerro Largo (RS)";"14009";"Pessoas"
"MU";"4305306";"Chapada (RS)";"9748";"Pessoas"
"MU";"4305355";"Charqueadas (RS)";"36109";"Pessoas"
"MU";"4305371";"Charrua (RS)";"2807";"Pessoas"
"MU";"4305405";"Chiapetta (RS)";"3992";"Pessoas"
"MU";"4305439";"Chuí (RS)";"6405";"Pessoas"
"MU";"4305447";"Chuvisca (RS)";"4686";"Pessoas"
"MU";"4305454";"Cidreira (RS)";"17538";"Pessoas"
"MU";"4305504";"Ciríaco (RS)";"4215";"Pessoas"
"MU";"4305587";"Colinas (RS)";"2474";"Pessoas"
"MU";"4305603";"Colorado (RS)";"3319";"Pessoas"
"MU";"4305702";"Condor (RS)";"6539";"Pessoas"
"MU";"4305801";"Constantina (RS)";"10623";"Pessoas"
"MU";"4305835";"Coqueiro Baixo (RS)";"1311";"Pessoas"
"MU";"4305850";"Coqueiros do Sul (RS)";"2251";"Pessoas"
"MU";"4305871";"Coronel Barros (RS)";"2892";"Pessoas"
"MU";"4305900";"Coronel Bicaco (RS)";"6230";"Pessoas"
"MU";"4305934";"Coronel Pilar (RS)";"1638";"Pessoas"
"MU";"4305959";"Cotiporã (RS)";"3926";"Pessoas"
"MU";"4305975";"Coxilha (RS)";"2719";"Pessoas"
"MU";"4306007";"Crissiumal (RS)";"13127";"Pessoas"
"MU";"4306056";"Cristal (RS)";"7454";"Pessoas"
"MU";"4306072";"Cristal do Sul (RS)";"2746";"Pessoas"
"MU";"4306106";"Cruz Alta (RS)";"60486";"Pessoas"
"MU";"4306130";"Cruzaltense (RS)";"1655";"Pessoas"
"MU";"4306205";"Cruzeiro do Sul (RS)";"12571";"Pessoas"
"MU";"4306304";"David Canabarro (RS)";"4403";"Pessoas"
"MU";"4306320";"Derrubadas (RS)";"2797";"Pessoas"
"MU";"4306353";"Dezesseis de Novembro (RS)";"2544";"Pessoas"
"MU";"4306379";"Dilermando de Aguiar (RS)";"2859";"Pessoas"
"MU";"4306403";"Dois Irmãos (RS)";"31769";"Pessoas"
"MU";"4306429";"Dois Irmãos das Missões (RS)";"2133";"Pessoas"
"MU";"4306452";"Dois Lajeados (RS)";"3158";"Pessoas"
"MU";"4306502";"Dom Feliciano (RS)";"13291";"Pessoas"
"MU";"4306551";"Dom Pedro de Alcântara (RS)";"2617";"Pessoas"
"MU";"4306601";"Dom Pedrito (RS)";"38094";"Pessoas"
"MU";"4306700";"Dona Francisca (RS)";"3136";"Pessoas"
"MU";"4306734";"Doutor Maurício Cardoso (RS)";"4542";"Pessoas"
"MU";"4306759";"Doutor Ricardo (RS)";"1925";"Pessoas"
"MU";"4306767";"Eldorado do Sul (RS)";"40954";"Pessoas"
"MU";"4306809";"Encantado (RS)";"23494";"Pessoas"
"MU";"4306908";"Encruzilhada do Sul (RS)";"24280";"Pessoas"
"MU";"4306924";"Engenho Velho (RS)";"1317";"Pessoas"
"MU";"4306932";"Entre-Ijuís (RS)";"9364";"Pessoas"
"MU";"4306957";"Entre Rios do Sul (RS)";"2731";"Pessoas"
"MU";"4306973";"Erebango (RS)";"3121";"Pessoas"
"MU";"4307005";"Erechim (RS)";"109497";"Pessoas"
"MU";"4307054";"Ernestina (RS)";"3097";"Pessoas"
"MU";"4307104";"Herval (RS)";"6307";"Pessoas"
"MU";"4307203";"Erval Grande (RS)";"5029";"Pessoas"
"MU";"4307302";"Erval Seco (RS)";"6902";"Pessoas"
"MU";"4307401";"Esmeralda (RS)";"3264";"Pessoas"
"MU";"4307450";"Esperança do Sul (RS)";"3294";"Pessoas"
"MU";"4307500";"Espumoso (RS)";"15478";"Pessoas"
"MU";"4307559";"Estação (RS)";"5688";"Pessoas"
"MU";"4307609";"Estância Velha (RS)";"49440";"Pessoas"
"MU";"4307708";"Esteio (RS)";"78181";"Pessoas"
"MU";"4307807";"Estrela (RS)";"33243";"Pessoas"
"MU";"4307815";"Estrela Velha (RS)";"3120";"Pessoas"
"MU";"4307831";"Eugênio de Castro (RS)";"2685";"Pessoas"
"MU";"4307864";"Fagundes Varela (RS)";"2620";"Pessoas"
"MU";"4307906";"Farroupilha (RS)";"72477";"Pessoas"
"MU";"4308003";"Faxinal do Soturno (RS)";"6846";"Pessoas"
"MU";"4308052";"Faxinalzinho (RS)";"2572";"Pessoas"
"MU";"4308078";"Fazenda Vilanova (RS)";"4399";"Pessoas"
"MU";"4308102";"Feliz (RS)";"13979";"Pessoas"
"MU";"4308201";"Flores da Cunha (RS)";"31973";"Pessoas"
"MU";"4308250";"Floriano Peixoto (RS)";"1694";"Pessoas"
"MU";"4308300";"Fontoura Xavier (RS)";"9721";"Pessoas"
"MU";"4308409";"Formigueiro (RS)";"6533";"Pessoas"
"MU";"4308433";"Forquetinha (RS)";"2441";"Pessoas"
"MU";"4308458";"Fortaleza dos Valos (RS)";"4569";"Pessoas"
"MU";"4308508";"Frederico Westphalen (RS)";"33684";"Pessoas"
"MU";"4308607";"Garibaldi (RS)";"35522";"Pessoas"
"MU";"4308656";"Garruchos (RS)";"2729";"Pessoas"
"MU";"4308706";"Gaurama (RS)";"5780";"Pessoas"
"MU";"4308805";"General Câmara (RS)";"7751";"Pessoas"
"MU";"4308854";"Gentil (RS)";"1783";"Pessoas"
"MU";"4308904";"Getúlio Vargas (RS)";"16950";"Pessoas"
"MU";"4309001";"Giruá (RS)";"16282";"Pessoas"
"MU";"4309050";"Glorinha (RS)";"7842";"Pessoas"
"MU";"4309100";"Gramado (RS)";"41621";"Pessoas"
"MU";"4309126";"Gramado dos Loureiros (RS)";"2049";"Pessoas"
"MU";"4309159";"Gramado Xavier (RS)";"3356";"Pessoas"
"MU";"4309209";"Gravataí (RS)";"275294";"Pessoas"
"MU";"4309258";"Guabiju (RS)";"1442";"Pessoas"
"MU";"4309308";"Guaíba (RS)";"95956";"Pessoas"
"MU";"4309407";"Guaporé (RS)";"26138";"Pessoas"
"MU";"4309506";"Guarani das Missões (RS)";"7553";"Pessoas"
"MU";"4309555";"Harmonia (RS)";"5524";"Pessoas"
"MU";"4309571";"Herveiras (RS)";"2608";"Pessoas"
"MU";"4309605";"Horizontina (RS)";"19246";"Pessoas"
"MU";"4309654";"Hulha Negra (RS)";"6102";"Pessoas"
"MU";"4309704";"Humaitá (RS)";"4774";"Pessoas"
"MU";"4309753";"Ibarama (RS)";"3793";"Pessoas"
"MU";"4309803";"Ibiaçá (RS)";"4618";"Pessoas"
"MU";"4309902";"Ibiraiaras (RS)";"6830";"Pessoas"
"MU";"4309951";"Ibirapuitã (RS)";"3793";"Pessoas"
"MU";"4310009";"Ibirubá (RS)";"22082";"Pessoas"
