Município,Valor pago (R$)
Canoas,"5958562,42"
Caxias do Sul,"5782558,14"
Pelotas,"5782558,14"
Porto Alegre,"5782558,14"
Rio Grande,"5782558,14"
Alvorada,"5432558,14"
Novo Hamburgo,"5432558,14"
Santa Maria,"5432558,14"
Cachoeirinha,"5259302,33"
Sapucaia do Sul,"5259302,33"
Sao Leopoldo,"5232558,14"
Bento Goncalves,"4997674,42"
Santa Cruz do Sul,"4709302,33"
Guaiba,"4474418,6"
Lajeado,"4124418,6"
Cachoeira do Sul,"3951162,79"
Esteio,"3951162,79"
Campo Bom,"3689534,88"
Montenegro,"3689534,88"
Venancio Aires,"3689534,88"
Taquara,"3427906,98"
Parobe,"3077906,98"
Gramado,"2904651,16"
Sao Lourenco do Sul,"2904651,16"
Estrela,"2643023,26"
Igrejinha,"2643023,26"
Sao Sebastiao do Cai,"2581395,35"
Eldorado do Sul,"2554651,16"
Rio Pardo,"2443023,26"
Candelaria,"2381395,35"
Guapore,"2381395,35"
Sao Jose do Norte,"2381395,35"
Tres Coroas,"2381395,35"
Triunfo,"2381395,35"
Vera Cruz,"2381395,35"
Veranopolis,"2381395,35"
Arroio do Meio,"2119767,44"
Encantado,"2119767,44"
Rolante,"2119767,44"
Charqueadas,"2093023,26"
Nova Santa Rita,"2031395,35"
Taquari,"2031395,35"
Agudo,"1858139,53"
Feliz,"1858139,53"
Restinga Seca,"1858139,53"
Sobradinho,"1858139,53"
Sao Jeronimo,"1769767,44"
Arroio do Tigre,"1596511,63"
Bom Principio,"1596511,63"
Cruzeiro do Sul,"1596511,63"
Jaguari,"1596511,63"
Arambare,"1334883,72"
Canudos do Vale,"1334883,72"
Cerro Branco,"1334883,72"
Colinas,"1334883,72"
Coqueiro Baixo,"1334883,72"
Cotipora,"1334883,72"
Dona Francisca,"1334883,72"
Doutor Ricardo,"1334883,72"
Faxinal do Soturno,"1334883,72"
Fontoura Xavier,"1334883,72"
General Camara,"1334883,72"
Ibarama,"1334883,72"
Imigrante,"1334883,72"
Maquine,"1334883,72"
Nova Palma,"1334883,72"
Pareci Novo,"1334883,72"
Passo do Sobrado,"1334883,72"
Pinhal Grande,"1334883,72"
Ponte Preta,"1334883,72"
Putinga,"1334883,72"
Relvado,"1334883,72"
Santa Tereza,"1334883,72"
Sao Joao do Polesine,"1334883,72"
Sao Valentim do Sul,"1334883,72"
Sao Vendelino,"1334883,72"
Segredo,"1334883,72"
Silveira Martins,"1334883,72"
Sinimbu,"1334883,72"
Travesseiro,"1334883,72"
Vale Verde,"1334883,72"
Vespasiano Correa,"1334883,72"
Bom Retiro do Sul,"1246511,63"
Roca Sales,"1246511,63"
Sao Martinho da Serra,"1134883,72"
Barra do Rio Azul,"984883,72"
Forquetinha,"984883,72"
Ivora,"984883,72"
Marques de Souza,"984883,72"
Mucum,"984883,72"
Paraiso do Sul,"984883,72"
Passa Sete,"984883,72"
Sao Jose do Herval,"984883,72"
Severiano de Almeida,"984883,72"
Pouso Novo,"784883,72"
Harmonia,450000
Ajuricaba,350000
Alecrim,350000
Alegrete,350000
Alto Feliz,350000
Anta Gorda,350000
Antonio Prado,350000
Ararica,350000
Arroio dos Ratos,350000
Arvorezinha,350000
Augusto Pestana,350000
Bage,350000
Barao,350000
Bom Jesus,350000
Boqueirao do Leao,350000
Bozano,350000
Cacequi,350000
Cacique Doble,350000
Caicara,350000
Camargo,350000
Campos Borges,350000
Candiota,350000
Canela,350000
Capao Bonito do Sul,350000
Capela de Santana,350000
Capitao,350000
Carlos Barbosa,350000
Carlos Gomes,350000
Chiapetta,350000
Chuvisca,350000
Ciriaco,350000
Coronel Pilar,350000
Cristal do Sul,350000
Cruzaltense,350000
David Canabarro,350000
Dois Lajeados,350000
Encruzilhada do Sul,350000
Entre Rios do Sul,350000
Erechim,350000
Erval Grande,350000
Estrela Velha,350000
Fagundes Varela,350000
Farroupilha,350000
Faxinalzinho,350000
Flores da Cunha,350000
Garibaldi,350000
Garruchos,350000
Gramado dos Loureiros,350000
Guabiju,350000
Herval,350000
Ibiruba,350000
Ijui,350000
Inhacora,350000
Itacurubi,350000
Itapuca,350000
Itaqui,350000
Itati,350000
Jaguarao,350000
Lagoa Bonita do Sul,350000
Lajeado do Bugre,350000
Liberato Salzano,350000
Manoel Viana,350000
Marata,350000
Mato Castelhano,350000
Mato Leitao,350000
Miraguai,350000
Monte Belo do Sul,350000
Morrinhos do Sul,350000
Morro Redondo,350000
Morro Reuter,350000
Nova Alvorada,350000
Nova Bassano,350000
Nova Brescia,350000
Nova Esperanca do Sul,350000
Nova Padua,350000
Nova Petropolis,350000
Nova Prata,350000
Novo Barreiro,350000
Novo Cabrais,350000
Novo Tiradentes,350000
Novo Xingu,350000
Pantano Grande,350000
Parai,350000
Paverama,350000
Picada Cafe,350000
Pinheiro Machado,350000
Pontao,350000
Porto Lucena,350000
Porto Xavier,350000
Protasio Alves,350000
Quevedos,350000
Quinze de Novembro,350000
Riozinho,350000
Rondinha,350000
Rosario do Sul,350000
Salvador do Sul,350000
Santa Clara do Sul,350000
Santa Vitoria do Palmar,350000
Santana da Boa Vista,350000
Santo Angelo,350000
Santo Antonio da Patrulha,350000
Santo Antonio do Palma,350000
Sao Borja,350000
Sao Domingos do Sul,350000
Sao Francisco de Assis,350000
Sao Francisco de Paula,350000
Sao Jorge,350000
Sao Jose do Hortencio,350000
Sao Jose do Sul,350000
Sao Luiz Gonzaga,350000
Sao Marcos,350000
Sao Pedro do Sul,350000
Sao Valentim,350000
Sapiranga,350000
Selbach,350000
Soledade,350000
Tapes,350000
Tres Cachoeiras,350000
Tres Forquilhas,350000
Tres Passos,350000
Tunas,350000
Tupandi,350000
Uruguaiana,350000
Vacaria,350000
Vale Real,350000
Vila Nova do Sul,350000
Vista Alegre do Prata,350000
Westfalia,350000
Alto Alegre,200000
Amaral Ferrador,200000
Aratiba,200000
Arroio Grande,200000
Barra do Ribeiro,200000
Barros Cassal,200000
Benjamin Constant do Sul,200000
Boa Vista das Missoes,200000
Braga,200000
Brochier,200000
Camaqua,200000
Campestre da Serra,200000
