Data,Processo,Recurso,Empenho,CNPJ,Credor,Município,Valor
2024-09-26 00:00:00,24080400010231,Judiciário,24005579303,55397324000105,Fundo Mun Defesa Civil de Ivora,Ivora,"R$ 784883,72"
2024-09-06 00:00:00,24080400009900,Judiciário,24005171712,55683798000105,Fundo Mun Prot e Defesa Civil de Charqueadas,Charqueadas,"R$ 2093023,26"
2024-09-04 00:00:00,24080400009624,Judiciário,24005056879,55195693000107,Fundo Mun Protecao e Defesa Civil de Guaiba,Guaiba,"R$ 3924418,60"
2024-08-22 00:00:00,24080400009187,Judiciário,24004790061,54040958000135,Fundo Mun Defesa Civil Forquetinha,Forquetinha,"R$ 784883,72"
2024-08-12 00:00:00,24080400008814,Judiciário,24004545202,55522654000177,Fundo Mun Defesa Civil de Alvorada,Alvorada,"R$ 5232558,14"
2024-08-09 00:00:00,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,"R$ 200000,00"
2024-08-02 00:00:00,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,"-R$ 400000,00"
2024-08-01 00:00:00,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,"R$ 400000,00"
2024-07-29 00:00:00,24080400008091,Tesouro,24004141526,55758602000102,Fundo Mun Defesa Civil de Pirapo,Pirapo,"-R$ 400000,00"
2024-07-26 00:00:00,24080400008075,Tesouro,24004137227,53288203000191,Fundo Mun Defesa Civil de Cachoeirinha,Cachoeirinha,"R$ 350000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004138034,55522654000177,Fundo Mun Defesa Civil de Alvorada,Alvorada,"R$ 200000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004138244,54990677000143,Fundo Mun Prot Defesa Civil de Ararica,Ararica,"R$ 200000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004139879,53126924000103,Fundo Munic Defesa Civil Arroio Grande,Arroio Grande,"R$ 200000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004139883,53481476000158,Fundo Mun Defesa Civil de Bage,Bage,"R$ 200000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004140940,53288203000191,Fundo Mun Defesa Civil de Cachoeirinha,Cachoeirinha,"R$ 200000,00"
2024-07-26 00:00:00,24080400008091,Tesouro,24004140952,53878144000101,Fundo Mun Prot Defesa Civil Canudos do Vale,Canudos do Vale,"R$ 200000,00"
